200 20.000000 10
164 14.5778 11.3612 0.2500
165 14.8585 9.7122 0.2500
166 14.6959 8.0126 0.2500
167 18.4944 6.9486 0.2500
168 6.1077 17.8921 0.2500
169 3.4808 9.6406 0.2500
170 0.4105 16.1998 0.2500
171 15.9266 17.5568 0.2500
172 19.8152 9.1865 0.2500
173 14.7503 15.6996 0.2500
174 13.9617 0.6924 0.2500
175 1.2350 12.4145 0.2500
176 5.5207 15.0818 0.2500
177 4.0457 3.0634 0.2500
178 3.4062 2.1412 0.2500
179 15.8066 3.7450 0.2500
180 10.8793 7.4953 0.2500
181 16.1088 0.3455 0.2500
182 9.9066 0.7101 0.2500
183 10.2115 19.6299 0.2500
184 2.8419 12.4904 0.2500
185 2.7179 11.1337 0.2500
186 17.8354 2.2399 0.2500
187 11.1556 11.2915 0.2500
188 15.3271 17.7454 0.2500
189 5.6565 4.5396 0.2500
190 9.5670 19.8532 0.2500
191 17.8283 0.0545 0.2500
192 1.3095 6.7513 0.2500
193 14.4289 7.3416 0.2500
194 5.6621 4.8275 0.2500
195 19.5987 19.0638 0.2500
196 12.5259 16.0675 0.2500
197 13.1761 15.2982 0.2500
198 16.1467 5.5659 0.2500
199 12.0151 9.8390 0.2500
